QID,score
1,0.8064382672309875
2,0.9946949481964111
3,0.8500565886497498
4,0.6150049567222595
5,0.6150049567222595
6,0.8988829255104065
7,0.9033215641975403
8,0.779661238193512
9,0.8179696798324585
10,0.8760892748832703
11,0.8736162781715393
12,0.8916969895362854
13,0.8465507626533508
14,0.8170676827430725
15,0.8118125200271606
16,0.8813688158988953
17,0.8861215710639954
18,0.860717236995697
19,0.8682854771614075
20,0.8808457255363464
21,0.9052175283432007
22,0.8456104397773743
23,0.8959354162216187
24,0.8909130692481995
25,0.8706268072128296
26,0.863902747631073
27,0.8857415318489075
28,0.8225603699684143
29,0.8857226967811584
30,0.9104250073432922
31,0.8457168340682983
32,0.8604871034622192
33,0.8802439570426941
34,0.8845519423484802
35,0.9019858241081238
36,0.8770747184753418
37,0.8740943074226379
38,0.8736323714256287
39,0.8723104000091553
40,0.6721518635749817
41,0.6134138107299805
